INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID9044906	DSSTox_Substance_Id	DTXSID9044906	2,5,7,10,11,14-Hexaoxa-1,6-distibabicyclo[4.4.4]tetradecane	C6H12O6Sb2	423.676	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044956	DSSTox_Substance_Id	DTXSID9044956	Barium neodecanoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044958	DSSTox_Substance_Id	DTXSID9044958	Trimethylsilyl silicate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9046819	DSSTox_Substance_Id	DTXSID9046819	Diethylaminoethyl-sephacel	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9047043	DSSTox_Substance_Id	DTXSID9047043	Potassium tetrathionate	K2O6S4	302.43	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90471982	DSSTox_Substance_Id	DTXSID90471982	[1,3-Bis(2,4,6-trimethylphenyl)imidazolidin-2-ylidene](dichloro)({2-[(propan-2-yl)oxy]phenyl}methylidene)ruthenium	C31H38Cl2N2ORu	626.63	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9047754	DSSTox_Substance_Id	DTXSID9047754	Phosphorus pentoxide	O10P4	283.885	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9047756	DSSTox_Substance_Id	DTXSID9047756	Prussian Blue (ferric ferrocyanide)	C18Fe7N18	859.239	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9047758	DSSTox_Substance_Id	DTXSID9047758	Samarium nitrate	N3O6Sm	288.38	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9047964	DSSTox_Substance_Id	DTXSID9047964	1-Ethyl-3-methylimidazolium dicyanamide	C8H11N5	177.211	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9047968	DSSTox_Substance_Id	DTXSID9047968	1-Butyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide	C11H20F6N2O4S2	422.4	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9048697	DSSTox_Substance_Id	DTXSID9048697	Aluminum monostearate	C18H37AlO4	344.472	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049582	DSSTox_Substance_Id	DTXSID9049582	Benzamorf	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049611	DSSTox_Substance_Id	DTXSID9049611	Fatty acids, C18-unsatd., dimers, polymers with diethylenetriamine and tall-oil fatty acids	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049613	DSSTox_Substance_Id	DTXSID9049613	Fatty acids, coco, reaction products with ethanolamine, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049615	DSSTox_Substance_Id	DTXSID9049615	Fatty acids, tall-oil, ethoxylated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049617	DSSTox_Substance_Id	DTXSID9049617	Fluoride	F	18.998951743	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049619	DSSTox_Substance_Id	DTXSID9049619	Formaldehyde, polymer with 4-(1,1-dimethylethyl)phenol and methyl oxirane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049661	DSSTox_Substance_Id	DTXSID9049661	Magnesium carbonate (1:x)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049665	DSSTox_Substance_Id	DTXSID9049665	Magnesium oxide	MgO	40.304	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049667	DSSTox_Substance_Id	DTXSID9049667	Magnesium peroxide (Mg(O2)​)	MgO2	56.303	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049742	DSSTox_Substance_Id	DTXSID9049742	2-Furanmethanol, homopolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049746	DSSTox_Substance_Id	DTXSID9049746	Polyphosphoric acids, esters with polyethylene glycol nonylphenyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049748	DSSTox_Substance_Id	DTXSID9049748	Potassium	K	39.0983	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049790	DSSTox_Substance_Id	DTXSID9049790	Steam cracked distillate, cyclodiene dimer, dicyclopentadiene polymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049794	DSSTox_Substance_Id	DTXSID9049794	Tall oil, compound with diethanolamine	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049796	DSSTox_Substance_Id	DTXSID9049796	Amines, tallow alkyl, acetates	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049798	DSSTox_Substance_Id	DTXSID9049798	Tetra-calcium-alumino-ferrite	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049821	DSSTox_Substance_Id	DTXSID9049821	Zirconium nitrate	N4O12Zr	339.24	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049823	DSSTox_Substance_Id	DTXSID9049823	Zirconium oxychloride	Cl2OZr	178.12	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049825	DSSTox_Substance_Id	DTXSID9049825	Zirconium, acetate lactate oxo ammonium complexes	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9049827	DSSTox_Substance_Id	DTXSID9049827	Zirconium, hydroxylactate sodium complexes	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050149	DSSTox_Substance_Id	DTXSID9050149	Boron potassium oxide (B5KO8)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050432	DSSTox_Substance_Id	DTXSID9050432	Anatase	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050434	DSSTox_Substance_Id	DTXSID9050434	2-Propenoic acid, polymer with sodium phosphinate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050436	DSSTox_Substance_Id	DTXSID9050436	Poly(acrylamide-co-acrylic acid)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050438	DSSTox_Substance_Id	DTXSID9050438	2-Acrylamido-2-methylpropanesulfonic acid sodium salt-sodium acrylate copolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050480	DSSTox_Substance_Id	DTXSID9050480	Bisphenol A-epichlorohydrin-polyformaldehyde copolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050482	DSSTox_Substance_Id	DTXSID9050482	C10-16 ethoxylated alcohol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9050484	DSSTox_Substance_Id	DTXSID9050484	Calcium	Ca	40.078	-	-	-	-	-	-	-	-	-	-	-	-
