INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID90889341	DSSTox_Substance_Id	DTXSID90889341	Potassium sodium tartrate	C4H4KNaO6	210.158	2.4013e-12	3.42115	4.83695	317.805	3.50746e-09	0.109715	6.60972	57.4828	-2.1183	157.35	1.32277e-09	2.96001
DTXSID90889346	DSSTox_Substance_Id	DTXSID90889346	Magnesium, [(2E,7R,11R)-3,7,11,15-tetramethyl-2-hexadecenyl (3S,4S,21R)-9-ethenyl-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoato(2-)-.kappa.N23,.kappa.N24,.kappa.N25,.kappa.N26]-, (SP-4-2)-	C55H72MgN4O5	893.509	1.85669e-10	70.5058	44.3873	476.214	1.24419e-08	0.855545	10.0755	132937.0	6.12581	204.422	2.07337e-08	6.08302e-07
DTXSID90889366	DSSTox_Substance_Id	DTXSID90889366	1-((4-((Dimethylphenyl)azo)dimethylphenyl)azo)-2-naphthalenol	C26H24N4O	408.505	2.90266e-11	337.638	71.2629	361.008	8.83186e-09	1.54049	10.3952	93892.1	4.91677	178.813	3.23106e-08	1.039e-06
DTXSID90889402	DSSTox_Substance_Id	DTXSID90889402	Cytidine, N-benzoyl-5'-O-[bis(4-methoxyphenyl)phenylmethyl]-2'-deoxy-	C37H35N3O7	633.701	5.03101e-11	34.5679	4.78019	482.429	5.56374e-11	1.2934	9.75358	36306.0	4.80114	217.785	1.54178e-10	4.1598e-06
DTXSID90889407	DSSTox_Substance_Id	DTXSID90889407	Pyridinium, 1-[(dimethylamino)carbonyl]-4-(2-sulfoethyl)-, inner salt	C10H14N2O4S	258.29	1.08433e-11	1.34253	4.26459	332.303	3.89829e-08	0.281875	7.87648	53.0724	0.504916	98.266	6.26579e-08	0.00209724
DTXSID90889422	DSSTox_Substance_Id	DTXSID90889422	4,4'-Bis(2,4-dianilino-1,3,5-triazin-6-ylamino)-2,2'-stilbene disulfonic acid disodium salt	C44H34N12Na2O6S2	936.93	8.16191e-11	9.002	100.498	390.121	2.00026e-09	0.232631	9.61554	134239.0	4.48605	161.93	5.30286e-08	0.00393454
DTXSID90889427	DSSTox_Substance_Id	DTXSID90889427	1,2,3-Propanetricarboxylic acid, 2-hydroxy-, zinc salt (2:3)	C12H10O14Zn3	574.34	3.33572e-12	4.16394	4.09194	318.064	1.54655e-10	0.105991	7.9121	119.011	-2.00949	178.813	1.65442e-08	4.90398
DTXSID90889442	DSSTox_Substance_Id	DTXSID90889442	Potassium tartrate	C4H4K2O6	226.267	2.4013e-12	3.42115	4.83695	317.805	3.50746e-09	0.109715	6.60972	57.4828	-1.65081	156.922	1.32277e-09	2.96001
DTXSID90889447	DSSTox_Substance_Id	DTXSID90889447	Pigment Red 60	C17H8Ba2N2O9S2	723.03	1.78037e-11	2.37157	4.47639	297.502	9.18413e-11	0.39107	9.43942	42.0066	-1.36281	230.334	5.38999e-09	0.339729
DTXSID90889462	DSSTox_Substance_Id	DTXSID90889462	Acid Blue 45	C14H8N2Na2O10S2	474.32	9.90017e-12	2.35593	48.618	362.355	1.66972e-11	0.142054	9.53197	30.7342	0.474791	224.814	1.07792e-08	0.351565
DTXSID90889467	DSSTox_Substance_Id	DTXSID90889467	C.I. Fluorescent Brightener 213	C34H28N10Na2O8S2	814.76	8.16023e-11	6.00903	13.3202	348.685	1.9089e-09	0.229728	9.59356	34134.1	4.77821	162.225	1.13152e-07	0.0159914
DTXSID90889487	DSSTox_Substance_Id	DTXSID90889487	Disodium 2-sulphonatooctadecanoate	C18H34Na2O5S	408.5	1.8371e-11	15.5814	5.90381	321.954	1.51715e-08	0.186105	9.36139	13815.3	3.33558	198.82	3.1138e-09	0.00162061
DTXSID90889508	DSSTox_Substance_Id	DTXSID90889508	Ammonium malate	C4H12N2O5	168.149	3.19197e-12	4.89749	3.56188	318.067	6.25678e-09	0.14285	6.76808	29.409	-2.07332	161.769	3.28831e-08	5.17483
DTXSID90889528	DSSTox_Substance_Id	DTXSID90889528	Trisodium 7-((((6-((o-anisyl)azo)-5-hydroxy-7-sulphonato-2-naphthyl)amino)carbonyl)amino)-4-hydroxy-3-((6-sulphonato-2-naphthyl)azo)naphthalene-2-sulphonate	C38H25N6Na3O13S3	938.8	8.26796e-11	5.20069	13.8681	361.43	1.53565e-11	0.232223	9.59003	134758.0	3.38703	179.291	1.82652e-07	0.179822
DTXSID90889543	DSSTox_Substance_Id	DTXSID90889543	Direct Red 24	C35H25N6Na3O13S3	902.76	8.27186e-11	5.06291	12.2939	361.623	1.48087e-11	0.230841	9.58557	135571.0	3.40795	179.374	1.76963e-07	0.186804
DTXSID90889644	DSSTox_Substance_Id	DTXSID90889644	Phosphoric acid, tin(2+) salt (2:3)	O64P16Sn8	2469.205	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90889664	DSSTox_Substance_Id	DTXSID90889664	2,7-Naphthalenedisulfonic acid, 5-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-4-hydroxy-3-[2-(2-sulfophenyl)diazenyl]-, sodium salt (1:3)	C19H9Cl2N6Na3O10S3	717.36	3.71163e-11	3.64656	15.3378	333.338	2.67664e-10	0.483553	9.53656	39.894	2.46363	176.304	6.29949e-08	0.429091
DTXSID90889684	DSSTox_Substance_Id	DTXSID90889684	2-Anthracenesulfonic acid, 1-amino-4-[[3-[[4-chloro-6-[(3-sulfophenyl)amino]-1,3,5-triazin-2-yl]amino]-4-sulfophenyl]amino]-9,10-dihydro-9,10-dioxo-, sodium salt (1:3)	C29H17ClN7Na3O11S3	840.09	4.86164e-11	4.94003	13.633	392.875	1.39161e-11	0.227165	9.5928	30374.3	5.36722	170.827	1.41316e-07	0.139446
DTXSID90889689	DSSTox_Substance_Id	DTXSID90889689	1,2-Benzenedicarboxylic acid, 3,4,5,6-tetrabromo-, sodium salt (1:2)	C8Br4Na2O4	525.68	3.29718e-12	4.34415	19.4595	316.515	4.96201e-05	0.19957	9.22222	1452.94	3.51091	229.203	5.40196e-08	0.00757499
DTXSID90889700	DSSTox_Substance_Id	DTXSID90889700	1,3-Naphthalenedisulfonic acid, 7,7'-[iminobis[carbonyl(2-methyl-4,1-phenylene)-2,1-diazenediyl]]bis-, sodium salt (1:4)	C36H23N5Na4O14S4	969.8	5.30452e-11	5.105	13.4858	364.173	2.18659e-11	0.762157	9.57845	32697.5	4.50327	182.362	1.00432e-07	0.10127
DTXSID90889705	DSSTox_Substance_Id	DTXSID90889705	Methyl Blue	C37H28N3Na2O9S3	800.8	1.93599e-11	4.87407	15.6107	453.119	1.85453e-11	0.226361	9.57086	136678.0	3.74978	185.329	1.38459e-07	0.000605809
DTXSID90889745	DSSTox_Substance_Id	DTXSID90889745	1,2,3,4,5,6-Cyclohexanehexacarboxylic acid, sodium salt (1:5)	C12H7Na5O12	458.125	1.52542e-11	3.14028	40.6475	365.41	2.59759e-11	0.329289	9.5167	45.4937	-0.367827	236.964	4.25498e-11	0.00421633
DTXSID90889801	DSSTox_Substance_Id	DTXSID90889801	Glycine, N,N'-[(3-oxo-1(3H)-isobenzofuranylidene)bis[[6-hydroxy-2-methyl-5-(1-methylethyl)-3,1-phenylene]methylene]]bis[N-(carboxymethyl)-, sodium salt (1:4)	C38H40N2Na4O12	808.699	1.04465e-10	3.02245	94.1288	381.532	2.03221e-11	0.227335	9.56346	21436.7	2.00469	220.341	1.86844e-09	0.000861099
DTXSID90889806	DSSTox_Substance_Id	DTXSID90889806	2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-3-[2-[4-[[3-[[[4-[2,4-bis(1,1-dimethylpropyl)phenoxy]butyl]amino]carbonyl]-4-hydroxy-1-naphthalenyl]oxy]phenyl]diazenyl]-4-hydroxy-, sodium salt (1:2)	C49H52N4Na2O12S2	999.07	5.36415e-11	8.41954	144.287	444.854	7.83492e-10	0.332522	9.59074	133483.0	4.0224	190.85	1.65919e-07	0.0298466
DTXSID90889821	DSSTox_Substance_Id	DTXSID90889821	Sulfuric acid, iron(2+) salt, compd. with 1,2-ethanediamine (2:1:1)	C2H8FeN2O4S	212.0	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90889861	DSSTox_Substance_Id	DTXSID90889861	Disodium [2-oleoylamido-1-methylethyl]sulfosuccinate	C25H43NNa2O8S	563.66	1.46805e-10	7.12219	8.71071	272.452	1.3027e-08	0.298202	9.44994	20849.2	3.11088	176.418	9.73657e-11	0.00202862
DTXSID90889967	DSSTox_Substance_Id	DTXSID90889967	1,5-Pentanedisulfonic acid, 1,5-dihydroxy-, potassium salt (1:2)	C5H10K2O8S2	340.44	1.71629e-12	2.62074	4.97441	318.025	1.81448e-10	0.118062	8.40634	10.4361	-2.72234	193.109	1.63936e-09	0.485404
DTXSID90890033	DSSTox_Substance_Id	DTXSID90890033	2-Naphthalenesulfonic acid, 4-hydroxy-7-[[[[5-hydroxy-6-[2-(2-methoxyphenyl)diazenyl]-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-3-[2-(2-methylphenyl)diazenyl]-, sodium salt (1:2)	C35H26N6Na2O10S2	800.72	8.17348e-11	5.90717	55.8549	369.944	1.31295e-11	0.229553	9.57023	135919.0	3.35636	179.497	8.8105e-08	0.211979
DTXSID90890058	DSSTox_Substance_Id	DTXSID90890058	Benzenesulfonic acid, 2,2'-[1,4-phenylenebis[carbonylimino[2-(acetylamino)-4,1-phenylene]-2,1-diazenediyl]]bis[5-[2-(4-sulfophenyl)diazenyl]-, sodium salt (1:4)	C48H34N12Na4O16S4	1255.07	1.11163e-10	5.47915	13.4286	380.421	6.86895e-11	0.936778	9.61122	100777.0	4.5087	166.473	3.69397e-08	0.0105748
DTXSID90890098	DSSTox_Substance_Id	DTXSID90890098	1,5-Naphthalenedisulfonic acid, 2-[2-[8-[[4-[(4-chlorophenyl)amino]-6-fluoro-1,3,5-triazin-2-yl]amino]-1-hydroxy-3,6-disulfo-2-naphthalenyl]diazenyl]-, sodium salt (1:4)	C29H15ClFN7Na4O13S4	944.12	8.22346e-11	4.99748	13.3723	379.686	2.77297e-10	0.228206	9.59008	48139.2	5.37427	175.586	4.45815e-08	0.0403102
DTXSID90890194	DSSTox_Substance_Id	DTXSID90890194	Benzoic acid, 2,4-dihydroxy-5-[2-(2-hydroxy-3-nitro-5-sulfophenyl)diazenyl]-, sodium salt (1:2)	C13H7N3Na2O10S	443.25	1.8472e-11	2.38928	6.58994	330.581	1.93437e-11	0.140184	9.47661	120.036	2.22381	192.899	1.011e-09	1.59474
DTXSID90890210	DSSTox_Substance_Id	DTXSID90890210	Benzenesulfonic acid, 3-[[4-amino-9,10-dihydro-9,10-dioxo-3-[sulfo-4-(1,1,3,3-tetramethylbutyl)phenoxy]-1-anthracenyl]amino]-2,4,6-trimethyl-, sodium salt (1:2)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890215	DSSTox_Substance_Id	DTXSID90890215	Benzenesulfonic acid, 4-[[4-chloro-6-[(3-sulfophenyl)amino]-1,3,5-triazin-2-yl]amino]-2-[2-[1-(2,5-dichloro-4-sulfophenyl)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-4-yl]diazenyl]-, sodium salt (1:3)	C25H15Cl3N9Na3O10S3	872.95	1.03609e-10	5.98353	15.3302	338.735	1.28962e-11	0.738802	9.56729	46265.6	4.80111	171.485	1.15568e-07	0.147317
DTXSID90890230	DSSTox_Substance_Id	DTXSID90890230	Naphthalenesulfonic acid, 5-[2-[2,4-dihydroxy-5-[2-[4-[(4-nitro-2-sulfophenyl)amino]phenyl]diazenyl]phenyl]diazenyl]-8-[2-[4-[(4-nitro-2-sulfophenyl)amino]phenyl]diazenyl]-, sodium salt (1:3)	C40H25N10Na3O15S3	1050.84	9.32877e-11	5.48144	25.2019	392.93	5.84261e-11	0.776719	9.59416	101543.0	3.22484	171.31	4.40788e-08	0.0720802
DTXSID90890250	DSSTox_Substance_Id	DTXSID90890250	2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-3-[2-(2-methoxyphenyl)diazenyl]-, sodium salt (1:2)	C35H26N6Na2O11S2	816.72	8.17391e-11	5.85611	4.79892	370.206	1.33878e-11	0.230196	9.57118	135806.0	3.37393	179.434	8.57329e-08	0.212935
DTXSID90890255	DSSTox_Substance_Id	DTXSID90890255	[1,1'-Biphenyl]-2,2'-disulfonic acid, 4,4'-bis[2-[4,5-dihydro-3-methyl-5-oxo-1-(4-sulfophenyl)-1H-pyrazol-4-yl]diazenyl]-, sodium salt (1:4)	C32H22N8Na4O14S4	962.77	9.54909e-11	5.02813	13.4021	378.168	6.33029e-11	1.21709	9.56326	30882.2	5.707	171.949	1.01354e-07	0.107922
DTXSID90890311	DSSTox_Substance_Id	DTXSID90890311	1,5-Naphthalenedisulfonic acid, 3,3'-[(3-methyl-1,2-phenylene)bis[imino(6-chloro-1,3,5-triazine-4,2-diyl)imino[2-(acetylamino)-5-methoxy-4,1-phenylene]-2,1-diazenediyl]]bis-, sodium salt (1:4)	C51H38Cl2N16Na4O16S4	1422.06	8.76705e-11	5.5506	12.9833	-	7.75913e-11	0.801472	9.6304	31948.8	4.57076	-	3.61271e-08	0.00926286
DTXSID90890391	DSSTox_Substance_Id	DTXSID90890391	2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-3-[2-[4-[2-[2-oxo-1-[(phenylamino)carbonyl]propyl]diazenyl]phenyl]diazenyl]-6-[2-(4-sulfo-1-naphthalenyl)diazenyl]-, sodium salt (1:3)	C36H25N8Na3O12S3	926.79	1.04101e-10	5.22745	9.1058	377.035	1.91093e-09	0.751276	9.57562	32863.4	3.25156	171.639	8.68143e-08	0.103336
DTXSID90890396	DSSTox_Substance_Id	DTXSID90890396	Benzeneethanaminium, 4-[2-[4-[ethyl[2-hydroxy-3-(trimethylammonio)propyl]amino]-2-methylphenyl]diazenyl]-N,N,N-trimethyl-.beta.-oxo-, chloride (1:2)	C26H41Cl2N5O2	526.55	3.03053e-11	29.5387	7.29006	348.555	3.4804e-08	1.00055	10.3435	45486.3	1.52589	119.359	2.94964e-08	2.73361e-05
DTXSID90890417	DSSTox_Substance_Id	DTXSID90890417	C.I. Direct Black 168	C34H24N9Na3O11S3	899.77	8.24318e-11	5.2027	56.3855	392.199	2.20306e-10	0.229686	9.59179	32969.3	4.67227	172.338	3.27613e-08	0.153078
DTXSID90890457	DSSTox_Substance_Id	DTXSID90890457	Trisodium 6,6',6''-(1,3,5-triazine-2,4,6-triyltriazanediyl)trihexanoate	C21H33N6Na3O6	534.5	2.12212e-11	4.32416	5.02227	309.938	7.30179e-10	0.291078	9.53998	256.076	1.41866	168.49	1.38504e-09	0.000161062
DTXSID90890472	DSSTox_Substance_Id	DTXSID90890472	2,7-Naphthalenedisulfonic acid, 4-amino-3-[2-[4-[[[4-[2-(2,4-diaminophenyl)diazenyl]phenyl]sulfonyl]amino]phenyl]diazenyl]-5-hydroxy-6-(2-phenyldiazenyl)-, sodium salt (1:2)	C34H26N10Na2O9S3	860.8	8.23882e-11	5.26707	110.768	338.294	1.93973e-09	0.230001	9.57987	32684.7	4.16648	170.759	3.33552e-08	0.0396255
DTXSID90890477	DSSTox_Substance_Id	DTXSID90890477	1,5-Naphthalenedisulfonic acid, 3-[2-[4-[[4,6-bis[(3-sulfopropyl)thio]-1,3,5-triazin-2-yl]amino]-5-methoxy-2-methylphenyl]diazenyl]-, sodium salt (1:4)	C27H26N6Na4O13S6	926.85	8.28075e-11	4.95117	13.5292	403.096	2.84534e-10	0.742599	9.57366	32509.9	4.44018	175.906	1.0441e-07	0.112088
DTXSID90890492	DSSTox_Substance_Id	DTXSID90890492	Hexanoic acid, 2-ethyl-, copper(2+) salt (2:1)	C16H30CuO4	349.958	1.13746e-11	3.74133	4.78286	227.885	8.31926e-07	0.0724892	6.00196	66.4852	-0.373934	217.138	0.0301776	0.0138561
DTXSID90890497	DSSTox_Substance_Id	DTXSID90890497	10-Undecenoic acid, zinc salt (2:1)	C22H38O4Zn	431.92	3.57303e-11	3.04334	5.2881	275.004	1.21684e-07	0.306044	8.37944	681.902	-0.291852	217.206	0.000932777	0.000398898
DTXSID90890513	DSSTox_Substance_Id	DTXSID90890513	Thiocyanic acid, lead(2+) salt (2:1)	C2N2PbS2	323.4	1.46317e-13	3.36411	7.56289	131.028	9.15947e-07	0.163756	2.1956	26.8532	-1.64556	172.981	0.327039	13.8593
DTXSID90890518	DSSTox_Substance_Id	DTXSID90890518	Barium iron oxide	BaFe2O4	313.013	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890533	DSSTox_Substance_Id	DTXSID90890533	Titanium tetra(methanolate)	C4H12O4Ti	172.003	9.47112e-13	1.5413	7.57468	64.7295	4.55795e-06	0.120694	2.86273	2.75443	-1.26592	232.238	126.324	32.6434
DTXSID90890538	DSSTox_Substance_Id	DTXSID90890538	Aluminum phenolsulfonate	C18H15AlO12S3	546.47	2.84197e-12	6.37567	3.85829	315.607	4.38021e-09	0.113944	7.83974	26.845	-2.70295	195.44	7.24372e-09	1.6907
DTXSID90890558	DSSTox_Substance_Id	DTXSID90890558	Nickel(2+) stearate	C36H70NiO4	625.645	1.65005e-11	517.32	18.9526	382.842	6.64788e-08	1.12038	10.6209	3946.22	0.376799	175.689	7.14871e-07	2.08416e-06
DTXSID90890573	DSSTox_Substance_Id	DTXSID90890573	Methoxyethanol sodium salt	C3H7NaO2	98.077	1.24924e-11	1.50405	4.12411	124.09	3.31437e-07	0.0771524	3.96454	10.3524	0.0437297	27.4318	9.46905	13.1806
DTXSID90890578	DSSTox_Substance_Id	DTXSID90890578	Theophylline sodium	C7H7N4NaO2	202.149	5.98606e-12	2.18329	4.27333	327.081	2.73843e-09	0.0847656	10.6206	37.6826	-0.262801	197.3	4.57449e-06	0.0416881
DTXSID90890593	DSSTox_Substance_Id	DTXSID90890593	Nickel dioctanoate	C16H30NiO4	345.105	1.12916e-11	3.7792	4.9798	238.954	1.04792e-06	0.177795	6.24209	110.089	-1.01059	218.451	0.00370176	0.00525666
DTXSID90890598	DSSTox_Substance_Id	DTXSID90890598	Barium bis(3-nitro-4-((1-(phenylcarbamoyl)acetonyl)azo)benzenesulphonate)	C32H26BaN8O14S2	948.05	4.42092e-11	7.43768	3.54056	274.615	1.46648e-11	0.148637	9.49927	53.868	-1.55231	197.009	1.16902e-09	0.0227375
DTXSID90890619	DSSTox_Substance_Id	DTXSID90890619	Pigment Red 50 barium salt	C34H22BaN4O6	719.899	1.43108e-11	16.9702	9.33599	313.039	4.76951e-10	0.208665	9.19153	2992.58	-1.08314	194.901	5.1107e-10	0.00166615
DTXSID90890634	DSSTox_Substance_Id	DTXSID90890634	Perchloric acid, mercury(2+) salt (2:1)	Cl2HgO8	399.48	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890639	DSSTox_Substance_Id	DTXSID90890639	Nitric acid, lanthanum(3+) salt (3:1)	LaN3O9	324.917	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890659	DSSTox_Substance_Id	DTXSID90890659	Nitric acid, manganese(2+) salt (2:1)	MnN2O6	178.946	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890679	DSSTox_Substance_Id	DTXSID90890679	Titanium oxide phosphate	HO5PTi	159.844	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890694	DSSTox_Substance_Id	DTXSID90890694	Sulfuric acid, cerium(3+) salt (3:2)	Ce2O12S3	568.4	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890699	DSSTox_Substance_Id	DTXSID90890699	Perchloric acid, barium salt (2:1)	BaCl2O8	336.22	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890710	DSSTox_Substance_Id	DTXSID90890710	Sulfuric acid, gadolinium(3+) salt (3:2)	Gd2O12S3	602.67	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890715	DSSTox_Substance_Id	DTXSID90890715	Sulfuric acid, vanadium(3+) salt (3:2)	O12S3V2	390.05	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890735	DSSTox_Substance_Id	DTXSID90890735	Sulfamic acid, iron(2+) salt (2:1)	FeH4N2O6S2	248.01	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890775	DSSTox_Substance_Id	DTXSID90890775	Pyridinium, 1-dodecyl-, sulfate (1:1)	C17H31NO4S	345.5	2.10679e-11	1631.76	8.66106	324.673	2.56469e-06	8.762	8.84552	3700.98	0.553736	149.532	1.10021e-05	1.31967e-08
DTXSID90890790	DSSTox_Substance_Id	DTXSID90890790	Acetic acid, ytterbium(3+) salt (3:1)	C6H9O6Yb	350.186	7.40536e-13	4.34366	4.59912	117.958	1.00453e-07	0.102194	4.23032	1.00727	-1.6329	220.27	15.6073	13.4017
DTXSID90890795	DSSTox_Substance_Id	DTXSID90890795	2-Propanamine, N-(1-methylethyl)-, magnesium salt (2:1)	C12H28MgN2	224.675	1.85146e-11	6.35854	18.8162	84.0562	1.98628e-05	0.102985	4.24488	37.4188	0.140435	13.0959	79.1721	1.08773
DTXSID90890811	DSSTox_Substance_Id	DTXSID90890811	Naphthalenesulfonic acid, dinonyl-, zinc salt (2:1)	C56H86O6S2Zn	984.8	2.92601e-11	42.9341	20.541	437.85	4.73628e-08	1.01569	10.2187	60125.2	0.376802	197.606	2.58621e-08	2.98406e-07
DTXSID90890851	DSSTox_Substance_Id	DTXSID90890851	Carbon silicon oxide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890856	DSSTox_Substance_Id	DTXSID90890856	Carbonic acid, ammonium zinc salt (2:2:1)	C2H8N2O6Zn	221.47	2.50079e-14	4.92728	7.57763	299.147	3.7792e-09	0.142856	6.36654	3.85959	-1.07997	139.249	0.0105684	0.0170393
DTXSID90890871	DSSTox_Substance_Id	DTXSID90890871	Sodium tungsten hydroxide oxide phosphate	HNaO6PW	334.8	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890896	DSSTox_Substance_Id	DTXSID90890896	Propanoic acid, 2-hydroxy-, antimony(3+) salt (3:1)	C9H15O9Sb	388.97	1.63993e-12	4.19671	5.43152	208.699	8.92977e-09	0.0844451	6.72122	10.1804	-2.27585	256.219	0.0809846	3.22296
DTXSID90890912	DSSTox_Substance_Id	DTXSID90890912	Benzene, 1,1'-oxybis[(1,1,3,3-tetramethylbutyl)-	C28H42O	394.643	2.81881e-11	6211.39	16.2087	411.626	6.22148e-07	3.05437	11.7056	64066.1	9.14911	13.8002	7.30387e-07	4.00112e-08
DTXSID90890932	DSSTox_Substance_Id	DTXSID90890932	Aluminum cerium magnesium terbium oxide	Al2Ce2Mg2O11Tb2	876.645	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90890937	DSSTox_Substance_Id	DTXSID90890937	Hexanoic acid, 2-ethyl-, ruthenium(3+) salt (3:1)	C24H45O6Ru	530.69	1.13746e-11	3.74133	4.78286	227.885	8.31926e-07	0.0724892	6.00196	66.4852	-1.96271	251.194	0.0301776	0.0138561
DTXSID90890952	DSSTox_Substance_Id	DTXSID90890952	2,5-Pyrrolidinedione, potassium silver(1+) salt (2:1:1)	C8H8AgKN2O4	343.129	2.25886e-12	1.51489	4.58055	287.908	1.01096e-07	0.28889	6.70479	11.0235	-2.20927	234.396	7.54882e-05	1.96049
DTXSID90890992	DSSTox_Substance_Id	DTXSID90890992	Ethanol, 2-(2-butoxyethoxy)-, phosphate, potassium salt	C8H17K2O6P	318.388	1.75002e-11	4.86347	3.67941	318.213	3.30501e-09	0.130901	8.19291	21.109	-1.17684	125.374	7.15561e-06	1.68808
DTXSID90891020	DSSTox_Substance_Id	DTXSID90891020	Benzene, 1,1'-oxybis[hexadecyl-	C44H74O	619.075	2.91912e-11	50.9047	132.037	480.124	4.59625e-07	0.767551	11.6737	29844.1	8.77404	99.6638	7.51883e-10	2.21392e-08
DTXSID90891080	DSSTox_Substance_Id	DTXSID90891080	Benzenesulfonic acid, 4-chloro-2-[2-(2-hydroxy-1-naphthalenyl)diazenyl]-5-methyl-, barium salt (2:1)	C34H24BaCl2N4O8S2	888.93	1.38608e-11	17.7445	3.35732	322.648	8.18805e-10	0.248528	9.41277	829.481	-1.07966	194.65	2.59714e-10	0.000274114
DTXSID90891121	DSSTox_Substance_Id	DTXSID90891121	Cobalt lithium manganese nickel oxide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891126	DSSTox_Substance_Id	DTXSID90891126	Benzenesulfonic acid, 4-chloro-2-[2-[4,5-dihydro-3-methyl-5-oxo-1-(3-sulfophenyl)-1H-pyrazol-4-yl]diazenyl]-5-methyl-, ammonium calcium salt (2:2:1)	C34H34CaCl2N10O14S4	1045.92	6.7141e-11	5.32681	8.32295	274.65	2.19366e-11	0.288602	9.5556	40.3731	1.57593	212.299	1.40061e-09	0.000246498
DTXSID90891161	DSSTox_Substance_Id	DTXSID90891161	Poly(oxy-1,2-ethanediyl), alpha-(phenylmethyl)-omega-hydroxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891166	DSSTox_Substance_Id	DTXSID90891166	Polyoxyethylene docosyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891186	DSSTox_Substance_Id	DTXSID90891186	Poly(oxyethylene), p-tolyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891242	DSSTox_Substance_Id	DTXSID90891242	Dodecahydro-4,7-methano-2,3,8-methenocyclopent[a]indene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891262	DSSTox_Substance_Id	DTXSID90891262	Polyethylene glycol monocaprate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891282	DSSTox_Substance_Id	DTXSID90891282	alpha-(2-Chlorophenyl)-omega-hydroxypoly(oxy-1,2-ethanediyl)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891287	DSSTox_Substance_Id	DTXSID90891287	Poly(oxy-1,2-ethanediyl), alpha-(1-oxo-2-propen-1-yl)-omega-(4-(1-methyl-1-phenylethyl)phenoxy)-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891303	DSSTox_Substance_Id	DTXSID90891303	Decyl alcohol, ethoxylated, dihydrogen phosphate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891308	DSSTox_Substance_Id	DTXSID90891308	Poly(oxy-1,2-ethanediyl), alpha-(1-oxododecyl)-omega-methoxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891883	DSSTox_Substance_Id	DTXSID90891883	Potassium stannate	K2O3Sn	244.904	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90891888	DSSTox_Substance_Id	DTXSID90891888	Sodium 2-(1-carboxylatoethoxy)-1-methyl-2-oxoethyl laurate	C18H31NaO6	366.43	7.71975e-12	22.355	5.69383	347.305	8.25943e-10	0.475007	11.2964	5753.26	1.12002	27.5784	3.1361e-06	0.00442328
